ObjectID,AphiaID,RACEcode,FRAMcode,SWFSCcode,Kingdom,Phylum,Subphylum,Class,Subclass,Order,Family,Genus,Species,AUV_OTU,common_name,common_name_authority,AUV_nickname,morpho_type_descriptor,also_called_historically_3,12RB_button,Group1,Group2,Activation_date,Deactivation_date
1,558,91000,,727,Animalia,Porifera,,,,,,,,,unidentified sponge,AP,,,,sponge UNID,,,,
2,558,,,,Animalia,Porifera,,,,,,,,,dead sponge,AP,,,,dead sponge,,,,
3,614811,91996,,,Animalia,Porifera,,,,,,,,,UNID encrusting,,,,,UNID encrusting,,,,
4,614811,,,,Animalia,Porifera,,,,,,,,34,UNID massive,,,,,UNID massive,,,,
5,614811,,,606,Animalia,Porifera,,,,,,,,,UNID mound,,,,,UNID mound,,,,
6,614811,,,610,Animalia,Porifera,,,,,,,,35,UNID branching,,,,,UNID branching,,,,
7,22612,,,602,Animalia,Porifera,,,,,,,,,UNID barrel,,,,,UNID barrel,,,,
8,558,,,,Animalia,Porifera,,,,,,,,,UNID tiny barrel,,,,,UNID tiny barrel,,,,
9,614811,,,603,Animalia,Porifera,,,,,,,,,UNID shelf,,,,,UNID shelf,,,,
10,614811,91997,,,Animalia,Porifera,,,,,,,,,UNID globular,,,,,UNID globular,,,,
11,558,,,628,Animalia,Porifera,,,,,,,,36,UNID pipe organ,,,,Unidentified pipe organ sponge (Oceanapia spp.?) ,UNID pipe organ,,,,
12,558,,,,Animalia,Porifera,,,,,,,,37,UNID stalked,,,,,UNID stalked,,,,
13,558,91005,,604,Animalia,Porifera,,,,,,,,,UNID vase,,,,,UNID vase,,,,
14,558,,,600,Animalia,Porifera,,,,,,,,,UNID foliose,,,,,UNID foliose,,,,
15,558,91998,,,Animalia,Porifera,,,,,,,,,UNID tubular,,,,,UNID tubular,,,,
16,614811,91010,,,Animalia,Porifera,,Demospongiae,,,,,,,unidentified demosponge,AP,,,,demosponge UNID,,,,
17,167337,,,,Animalia,Porifera,,Demospongiae,Heteroscleromorpha,Poecilosclerida,Acarnidae,Acarnus,,5,orange Acarnus ,AP,,,,Acarnus sp.1 orange,,,,
18,131893,,,625,Animalia,Porifera,,Demospongiae,Heteroscleromorpha,Poecilosclerida,Cladorhizidae,Asbestopluma,,7,carnivorous sponge,,Asbestopluma stick,,pipe cleaner sponge,Asbestopluma sp.2 stick,,,,
19,131893,,,634,Animalia,Porifera,,Demospongiae,Heteroscleromorpha,Poecilosclerida,Cladorhizidae,Asbestopluma,,8,lobed carnivorous sponge,,Asbestopluma leaf,,palm frond sponge,Asbestopluma sp.1 leaf,,,,
20,,91249,,,Animalia,Porifera,,Demospongiae,Heteroscleromorpha,Poecilosclerida,Cladorhizidae,,,,,,,,,,,,,
21,132038,91225,,,Animalia,Porifera,,Demospongiae,Heteroscleromorpha,Poecilosclerida,Latrunculiidae,Latrunculia,,13,green deathstar sponge,SWFSC,,,,Latrunculia spp.,,,,
22,131907,91039,,630,Animalia,Porifera,,Demospongiae,Heteroscleromorpha,Poecilosclerida,Mycalidae,Mycale,,,,,upright flat sponge (yellow),,,Mycale spp.,,,,
23,131907,91039,,630,Animalia,Porifera,,Demospongiae,Heteroscleromorpha,Poecilosclerida,Mycalidae,Mycale,,9,,,Yellow mycale,,,Mycale sp. 1,,,,
24,170268,,,640,Animalia,Porifera,,Demospongiae,Heteroscleromorpha,Tetractinellida,Vulcanellidae,Poecillastra,tenuilaminaris,4,thin-sliced horny sponge,WPD,dark edge shelf sponge,,shelf sponge,Poecillastra tenuilaminaris,,,,
25,,91074,,639,Animalia,Porifera,,Demospongiae,Heteroscleromorpha,Polymastiida,Polymastiidae,Polymastia,,,,,,,nipple foliose sponge,,,,,
26,132046,91074,,,Animalia,Porifera,,Demospongiae,Heteroscleromorpha,Polymastiida,Polymastiidae,Polymastia,sp.A,,,,,,,Polymastia sp A,,,,Don't use. Go for Polymastia spp. instead.
27,132046,91074,,,Animalia,Porifera,,Demospongiae,Heteroscleromorpha,Polymastiida,Polymastiidae,Polymastia,sp.B,,,,,,,Polymastia sp B,,,,Don't use. This is likely Thenea sp.
,,,,701,Animalia,Porifera,,Demospongiae,Heteroscleromorpha,Polymastiida,Polymastiidae,Polymastia,pacifica,,,,,,,,,,,
28,614811,,,632,Animalia,Porifera,,Demospongiae,,,,,,12,Swiss cheese sponge,SWFSC,,,Unidentified sponges (blue/white) ,,,,,
29,170824,,,637,Animalia,Porifera,,Demospongiae,Heteroscleromorpha,Suberitida,Suberitidae,Rhizaxinella,gadus,11,club branching sponge,SWFSC,,,,Rhizaxinella gadus,,,,
30,132019,,,635,Animalia,Porifera,,Demospongiae,Heteroscleromorpha,Tetractinellida,Theneidae,Thenea,,10,pineapple sponge,SWFSC,dirty monk,,"Thenea muricata, Polymastia sp B",Thenea muricata,,,,
31,614811,,,,Animalia,Porifera,,Demospongiae,,,,,,14,,AP,,,,DB sp.3 potato,,,,
32,614811,,,,Animalia,Porifera,,Demospongiae,,,,,,15,,AP,,,,CB sp.4 beige cushion,,,,
33,,,,,Animalia,Porifera,,Demospongiae,,,,,,16,,,,,,Grays wh lumpy encru,,,,
34,614811,,,,Animalia,Porifera,,Demospongiae,,,,,,17,,AP,,,,CB sp.5 wh lump encru,,,,
35,614811,,,,Animalia,Porifera,,Demospongiae,,,,,,18,,AP,,,,CB sp.6 wh branching,,,,
36,614811,,,,Animalia,Porifera,,Demospongiae,,,,,,19,,AP,,,,SL white Mycale,,,,
37,614811,,,,Animalia,Porifera,,Demospongiae,,,,,,20,,AP,,,,SL sp.7 crumpet,,,,
38,614811,,,,Animalia,Porifera,,Demospongiae,,,,,,21,,AP,,,,SL sp.8 golfball,,,,
39,614811,,,,Animalia,Porifera,,Demospongiae,,,,,,22,,AP,,,,SL sp.9 cauliflower,,,,
40,614811,,,,Animalia,Porifera,,Demospongiae,,,,,,23,,AP,,,,SL sp.10 grey foamy encr,,,,
41,614811,,,,Animalia,Porifera,,Demospongiae,,,,,,24,,AP,,,,SL sp.11 webby tubes,,,,
,614811,,,,Animalia,Porifera,,Demospongiae,,,,,,25,,AP,,,,SL sp.12 holey fan,,,,
,614811,,,,Animalia,Porifera,,Demospongiae,,,,,,26,,AP,,,,SL sp.14 white crust,,,,
,,,,,Animalia,Porifera,,,,,,,,27,,EF,silver ooze sponge MBNMS,,,,,,,
,,,,,Animalia,Porifera,,,,,,,,28,,EF,pink fuzzy encrust MBNMS,,,,,,,
,22612,91700,,,Animalia,Porifera,,Hexactinellida,,,,,,,unidentified glass sponge,AP,,,,glass sponge UNID,,,,
,171632,91030,,,Animalia,Porifera,,Hexactinellida,Hexasterophora,Sceptrulophora,Aphrocallistidae,Aphrocallistes,vastus,1,cloud glass sponge,WPD,cloud sponge,,,Aphrocallistes vastus,,,,
,134391,91722,,626,Animalia,Porifera,,Hexactinellida,Hexasterophora,Sceptrulophora,Farreidae,Farrea,occa,,reversed glass sponge,WPD,cloud sponge,,Lace (or cloud) foliose sponge ,Farrea occa,,,,
,132107,91720,,,Animalia,Porifera,,Hexactinellida,Hexasterophora,Sceptrulophora,Farreidae,Farrea,,,reversed glass sponge,WPD,cloud sponge,,,Farrea spp.,,,,
,171636,91035,191035,624,Animalia,Porifera,,Hexactinellida,Hexasterophora,Sceptrulophora,Aphrocallistidae,Heterochone,calyx,2,fingered goblet vase sponge,WPD,,,Vase sponge,Heterochone calyx,,,,
,171634,,,,Animalia,Porifera,,Hexactinellida,Hexasterophora,Sceptrulophora,Aphrocallistidae,Heterochone,,,,,,,Vase sponge,Heterochone spp.,,,,
,574368,91053,,641,Animalia,Porifera,,Hexactinellida,Hexasterophora,Lyssacinosida,Rossellidae,Rhabdocalyptus,dawsoni,,sharp-lipped glass sponge,WPD,brown barrel,,,Rhabdocalyptus dawsoni,,,,
,464585,91701,192000,627,Animalia,Porifera,,Hexactinellida,Hexasterophora,Lyssacinosida,Rossellidae,Staurocalyptus,,29,Picasso sponge ,SWFSC,yellow Staurocalyptus,,,Staurocalyptus spp.(yell),,,,
,464585,91701,192000,838,Animalia,Porifera,,Hexactinellida,Hexasterophora,Lyssacinosida,Rossellidae,Staurocalyptus,,30,white Staurocalyptus,,white Staurocalyptus,,,Staurocalyptus spp.(wh),,,,
,,,,,Animalia,Porifera,,Hexactinellida,Hexasterophora,Lyssacinosida,,,,3,Unknown Lyssacine sponges,AP,barrels,,,,,,,
,171834,,,,Animalia,Porifera,,Hexactinellida,Hexasterophora,Lyssacinosida,,,,31,,AP,Daisy dirty barrel,,,DB grp.1 dirty barrel,,,,
,171834,,,,Animalia,Porifera,,Hexactinellida,Hexasterophora,Lyssacinosida,,,,32,,AP,Daisy white frilly vase,,,DB grp.2 white vase,,,,
,22612,,,,Animalia,Porifera,,Hexactinellida,,,,,,,,AP,,,,SL sp.13 lumpy barrel,,,,
,132096,91070,,,Animalia,Porifera,,Hexactinellida,Amphidiscophora,Amphidiscosida,Hyalonematidae,Hyalonema,,,,,,,,,,,,
,,,,,Animalia,Porifera,,,,,Latrunculiidae,,,33,,,red deathstar sponge,,,,,,,
,,,,,Animalia,Porifera,,,,,,,,,,,yellow sponge #1 (from MBNMS report),,,,,,,
,,,,,Animalia,Porifera,,,,,,,,,,,palm frond,could be asbesto 'leaf',,,,,,don't use
,,,,,Animalia,Porifera,,,,,,,,,,,Gray lobed sponge #1,,,,,,,
,,,,,Animalia,Porifera,,,,,,,,,,,Purple sponge #1,,,,,,,
,,,,,Animalia,Porifera,,,,,,,,,,,,,Unidentified upright flat sponges,,,,,
,,91213,,636,Animalia,Porifera,,,,,,Stylocordyla,,,,,,,,,,,,
,,,,724,Animalia,Porifera,,,,,,Spheciospongia,confoederata,,gray moon sponge (SWFSC),SWFSC,,,,,,,,
,,,,818,Animalia,Porifera,,,,,,Tentorium,,,SWFSC,SWFSC,,,,,,,,
,,,,642,Animalia,Porifera,,,,,,Xestospongia,,,grey lobe sponge (SWFSC),SWFSC,,,,,,,,
,,,,609,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes,dendrochristos,,Christmas Tree black coral,,,,,Antipathes spp.,,,,
,,41526,,741,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes,,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes,,,,,,,,,,,,
,,41530,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Antipatharia,Cladopathidae,Chrysopathes,speciosa,,black tree coral,,,,,Chrysopathes spp.,,,,
,,41531,141535,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Antipatharia,Cladopathidae,Chrysopathes,,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Antipatharia,Cladopathidae,Heteropathes,,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Antipatharia,Cladopathidae,Trissopathes,pseudotristicha,,black coral,,,,,Trissopathes spp.,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Antipatharia,Cladopathidae,Trissopathes,,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Alternatipathes,alternata,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Alternatipathes,bipinnata,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Alternatipathes,,,,,,,,,,,,
,,41541,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Bathypathes,patula,,Feather black coral,,,,,Bathypathes spp.,,,,
,,41540,,841,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Bathypathes,,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Lillipathes,quadribrachiata,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Lillipathes,wingi,,,,,,,,,,,
